"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"104","desc","C126,C125,C124,C123,C122,C119,C118,C117,C116,C115,C114,C113,C112,C21,C15,C13,C12,C11,C10,C7,C6,C5,C1,","C_0603","libref","2","23","","",
"22uF","desc","C14,C19,","C_0805","libref","2","2","","",
"4.7uF 25V","desc","C16,","C_0805","libref","2","1","","",
"10nF","desc","C17,","C_0603","libref","2","1","","",
"47pF","desc","C18,","C_0603","libref","2","1","","",
"22uF","desc","C2,","0805","libref","2","1","","",
"2.2uF","desc","C20,","C_0805","libref","2","1","","",
"4.7uF","desc","C4,C3,","C_0805","libref","2","2","","",
"20pF","desc","C9,C8,","C_0603","libref","2","2","","",
"16V","desc","D2,","D_SMA","libref","2","1","","",
"2A","desc","F1,","R_1812_HandSoldering","libref","2","1","","",
"47uH","desc","L2,","0805","libref","2","1","","",
"22uH","desc","L3,L1,","L_SMD4030_hand","libref","2","2","","",
"22uH 1A","desc","L5,L4,","L_SMD4030_hand","libref","2","2","","",
"2N7002K","desc","Q1,","SOT-23","libref","3","1","","",
"47K","desc","R16,R3,","0603","libref","2","2","","",
"220","desc","R17,","0603","libref","2","1","","",
"470K","desc","R34,","0603","libref","2","1","","",
"81","desc","R51,R50,R49,R48,R47,R46,R45,R44,R43,R42,R41,R40,R39,R38,","0603","libref","2","14","","",
"10K","desc","R54,R66,R71,R70,R69,R68,R67,R58,R57,R56,R55,R53,R52,R37,R36,R33,R32,R31,R30,R29,R28,R27,R26,R25,R24,R23,R22,R21,R20,R19,R18,R15,R14,R13,R12,R11,R10,R9,R8,R7,R6,R5,R4,","0603","libref","2","43","","",
"1K","desc","R59,R60,","0603","libref","2","2","","",
"12K","desc","R63,","0603","libref","2","1","","",
"330","desc","R64,R62,","0603","libref","2","2","","",
"51K","desc","R73,","0603","libref","2","1","","",
"100K","desc","R73*1,R74,R72,R35,","0603","libref","2","4","","",
"22K","desc","R75,","0603","libref","2","1","","",
"300","desc","R76,","0603","libref","2","1","","",
"100","desc","R77,R61,R2,R1,","0603","libref","2","4","","",
"49.9","desc","R81,R80,R79,R78,","0805","libref","2","4","","",
"74HC148","desc","U11,U10,","SOIC-16_W3.90mm","libref","16","2","","",
"4511","desc","U13,U12,","SOIC-16_W3.90mm","libref","16","2","","",
"STM32F030F4Px","desc","U16,","TSSOP-20_W4.4mm","libref","20","1","","",
"MAX485E","desc","U17,","SOIC-8_W3.9mm","libref","8","1","","",
"CH395Q","desc","U18,","LQFP-64_10x10mm","libref","64","1","","",
"AZ1117-1.8","desc","U19,","SOT-223-3_TabPin2","libref","4","1","","",
"SY8303","desc","U20,","TSOT-23-8_HandSoldering","libref","8","1","","",
"74HC573","desc","U3,U2,","SOIC-20_W7.5mm","libref","20","2","","",
"74HC238","desc","U4,U1,","SOIC-16_W3.90mm","libref","16","2","","",
"74HC00","desc","U7,U6,U5,","SOIC-14_W3.9mm","libref","14","3","","",
"74HC04","desc","U8,","SOIC-14_W3.9mm","libref","14","1","","",
"TLC555","desc","U9,","SOIC-8_W3.9mm","libref","8","1","","",
"30MHz","desc","Y1,","Crystal_SMD_3225-4pin_3.2x2.5mm","libref","4","1","","",
"Through Hole Items ",
"Green","desc","D1,","LED_D3.0mm","libref","2","1","","",
"Red","desc","D3,","LED_D3.0mm","libref","2","1","","",
"SWD","desc","J5,","XH2.54-4","libref","4","1","","",
"M3_Screwhole","desc","REF**,","M3_Screwhole","libref","7","1","","",
"LOAD","desc","SW1,","K8-7071","libref","6","1","","",
"SRBV170501","desc","SW2,SW3,","SRBV170501","libref","12","2","","",
"M/R","desc","SW4,","K8-7071","libref","6","1","","",
"RESET","desc","SW5,","SW_PUSH_6mm","libref","4","1","","",
"Blue 0.59''","desc","U14,U15,","7SegmentLED_LTS6760_LTS6780","libref","10","2","","",
"Conn_01x08","desc","J3,J2,J1,","Molex_KK-6410-08_08x2.54mm_Straight","libref","8","3","","",
"HR913550A","desc","J4,","HR913550A","libref","16","1","","",
"485","desc","J6,","PhoenixContact_MSTBA-G_03x5.08mm_Angled","libref","3","1","","",
"12VDC","desc","J7,","PhoenixContact_MSTBA-G_02x5.08mm_Angled","libref","2","1","","",
"Conn_01x01","desc","J8,","1pin","libref","1","1","","",
"100K","desc","RV1,","3362P","libref","3","1","","",
