"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","C_0603","3.5418mm","48.5524mm","3.5418mm","48.5524mm","3.5418mm","49.3024mm","T","270","104",
"C10","C_0603","85.0885mm","55.18016mm","85.0885mm","55.18016mm","85.0885mm","55.93016mm","T","270","104",
"C11","C_0603","78.35986mm","68.38816mm","78.35986mm","68.38816mm","77.60986mm","68.38816mm","T","0","104",
"C112","C_0603","86.61486mm","55.18016mm","86.61486mm","55.18016mm","86.61486mm","55.93016mm","T","270","104",
"C113","C_0603","78.9304mm","70.9806mm","78.9304mm","70.9806mm","79.6804mm","70.9806mm","T","180","104",
"C114","C_0603","78.35986mm","60.89516mm","78.35986mm","60.89516mm","79.10986mm","60.89516mm","T","180","104",
"C115","C_0603","91.87266mm","55.18086mm","91.87266mm","55.18086mm","91.87266mm","55.93086mm","T","270","104",
"C116","C_0603","88.01186mm","55.18016mm","88.01186mm","55.18016mm","88.01186mm","55.93016mm","T","270","104",
"C117","C_0603","78.3568mm","65.4942mm","78.3568mm","65.4942mm","79.1068mm","65.4942mm","T","180","104",
"C118","C_0603","90.486mm","73.292mm","90.486mm","73.292mm","90.486mm","72.542mm","T","90","104",
"C119","C_0603","95.37786mm","67.11816mm","95.37786mm","67.11816mm","94.62786mm","67.11816mm","T","0","104",
"C12","C_0603","78.35986mm","66.99116mm","78.35986mm","66.99116mm","79.10986mm","66.99116mm","T","180","104",
"C122","C_0603","90.1558mm","55.1945mm","90.1558mm","55.1945mm","90.1558mm","55.9445mm","T","270","104",
"C123","C_0603","78.34786mm","62.29216mm","78.34786mm","62.29216mm","79.09786mm","62.29216mm","T","180","104",
"C124","C_0603","95.439mm","62.8145mm","95.439mm","62.8145mm","94.689mm","62.8145mm","T","0","104",
"C125","C_0603","95.0841mm","71.3489mm","95.0841mm","71.3489mm","94.3341mm","71.3489mm","T","0","104",
"C126","C_0603","95.058mm","69.863mm","95.058mm","69.863mm","94.308mm","69.863mm","T","0","104",
"C13","C_0603","70.4454mm","86.9826mm","70.4454mm","86.9826mm","69.6954mm","86.9826mm","T","0","104",
"C14","C_0805","73.7855mm","87.2366mm","73.7855mm","87.2366mm","72.7855mm","87.2366mm","T","0","22uF",
"C15","C_0603","41.5275mm","92.1007mm","41.5275mm","92.1007mm","41.5275mm","91.3507mm","T","90","104",
"C16","C_0805","39.8638mm","92.4403mm","39.8638mm","92.4403mm","39.8638mm","91.4403mm","T","90","4.7uF 25V",
"C17","C_0603","44.4478mm","88.3288mm","44.4478mm","88.3288mm","43.6978mm","88.3288mm","T","0","10nF",
"C18","C_0603","47.179mm","97.9808mm","47.179mm","97.9808mm","47.929mm","97.9808mm","T","180","47pF",
"C19","C_0805","47.0393mm","91.5673mm","47.0393mm","91.5673mm","47.0393mm","90.5673mm","T","90","22uF",
"C2","0805","43.7848mm","4.1405mm","43.7848mm","4.1405mm","43.7848mm","5.1905mm","T","270","22uF",
"C20","C_0805","89.12964mm","90.53352mm","89.12964mm","90.53352mm","88.12964mm","90.53352mm","T","0","2.2uF",
"C21","C_0603","90.3336mm","88.532mm","90.3336mm","88.532mm","89.5836mm","88.532mm","T","0","104",
