"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"104","desc","C1,C2,C3,C4,C5,C6,C7,C8,C9,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C28,C29,C30,C31,C32,C33,C36,C39,C43,","0603_C","libref","2","33","","",
"10uF","desc","C10,C11,C27,C41,C42,","0805_C","libref","2","5","","",
"10pF","desc","C34,C35,","0603_C","libref","2","2","","",
"10nF","desc","C37,","0603_C","libref","2","1","","",
"47pF","desc","C38,","0603_C","libref","2","1","","",
"2.2uF 50V","desc","C40,C40B1,","0805_C","libref","2","2","","",
"D_TVS","desc","D5,D6,D8,D9,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,","D_SOD-323_HandSoldering","libref","2","14","","",
"SS34","desc","D7,","SMA(DO-214AC)_S3","libref","2","1","","",
"SMAJ16","desc","D20,","D_SMA","libref","2","1","","",
"1A","desc","F1,","1206_R","libref","2","1","","",
"22uH 1A","desc","L1,","L_SMD4030_hand","libref","2","1","","",
"2N5401","desc","Q1,Q2,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,","SOT-23(SOT-23-3)","libref","3","14","","",
"2N5551","desc","Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,","SOT-23(SOT-23-3)","libref","3","12","","",
"33","desc","R1,R2,R3,R4,R5,R6,R7,R8,R9,R11,R12,R13,R14,R15,R16,R17,R52,R59,R62,","0603_R","libref","2","19","","",
"4.7K","desc","R10,R18,R19,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R53,R54,","0603_R","libref","2","18","","",
"0","desc","R20,","1206_R","libref","2","1","","",
"47K","desc","R21,R22,R23,R24,R38,R39,R40,R41,R42,R43,R50,R55,R60,R61,","0603_R","libref","2","14","","",
"49.9","desc","R44,R45,R48,R49,","0603_R","libref","2","4","","",
"470","desc","R46,R47,","0603_R","libref","2","2","","",
"12K","desc","R51,","0603_R","libref","2","1","","",
"100K","desc","R56,","0603_R","libref","2","1","","",
"300","desc","R57,","0603_R","libref","2","1","","",
"15K","desc","R58,","0603_R","libref","2","1","","",
"EPM240T100","desc","U1,","LQFP-100_14X14X05P","libref","100","1","","",
"74HC04","desc","U2,U9,","TSSOP-14","libref","14","2","","",
"SPX3819M5-L-1-8","desc","U3,","SOT-23-5","libref","5","1","","",
"CH395Q","desc","U4,","LQFP-64_10X10X05P","libref","64","1","","",
"STM32F030C8Tx","desc","U5,","LQFP-48_7X7X05P","libref","48","1","","",
"MAX485E","desc","U6,","SOIC-8_W3.9mm","libref","8","1","","",
"SY8120/MT2492/ME3116","desc","U7,","SOT-23-6","libref","6","1","","",
"AZ1117-3.3","desc","U8,","SOT-223","libref","4","1","","",
"30MHz","desc","Y1,","Crystal_SMD_3225-4pin_3.2x2.5mm","libref","4","1","","",
"Through Hole Items ",
"Remote","desc","D1,","LED_D3.0mm","libref","2","1","","",
"Red","desc","D4,","LED_D3.0mm","libref","2","1","","",
"Conn_01x01","desc","J2,","PINTST","libref","1","1","","",
"RST","desc","J9,","PINTST","libref","1","1","","",
"Conn_01x01","desc","SC1,SC2,SC3,SC4,","M3_Screwhole","libref","7","4","","",
"SRBV170501","desc","SW1,SW2,","SRBV170501","libref","12","2","","",
"LOAD","desc","SW3,","K8-7071","libref","6","1","","",
"REMOTE","desc","SW4,","K8-7071","libref","6","1","","",
"0.56'' BLUE CA","desc","SEG1,SEG2,","7SegmentLED_LTS6760_LTS6780","libref","10","2","","",
"Blaster JTAG","desc","J1,","JTAG_10","libref","10","1","","",
"Conn_01x08","desc","J3,J4,","JST_XH_B08B-XH-A_08x2.50mm_Straight","libref","8","2","","",
"HR913550A","desc","J5,","HR913550A","libref","16","1","","",
"SWD","desc","J6,","Pin_Header_Straight_1x04_Pitch2.54mm","libref","4","1","","",
"485","desc","J7,","PhoenixContact_MSTBA-G_03x5.08mm_Angled","libref","3","1","","",
"12VDC","desc","J8,","PhoenixContact_MSTBA-G_02x5.08mm_Angled","libref","2","1","","",
