"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","0603_C","40.655mm","38.646mm","40.655mm","38.646mm","40.655mm","39.416mm","T","270","104",
"C2","0603_C","43.068mm","38.646mm","43.068mm","38.646mm","43.068mm","39.416mm","T","270","104",
"C3","0603_C","32.519mm","46.774mm","32.519mm","46.774mm","33.289mm","46.774mm","T","180","104",
"C4","0603_C","32.519mm","53.759mm","32.519mm","53.759mm","33.289mm","53.759mm","T","180","104",
"C5","0603_C","44.845999mm","61.514mm","44.845999mm","61.514mm","44.845999mm","60.744mm","T","90","104",
"C6","0603_C","42.814mm","60.236mm","42.814mm","60.236mm","42.814mm","59.466mm","T","90","104",
"C7","0603_C","54.252mm","46.266mm","54.252mm","46.266mm","53.482mm","46.266mm","T","0","104",
"C8","0603_C","15.644mm","59.601mm","15.644mm","59.601mm","16.414mm","59.601mm","T","180","104",
"C9","0603_C","23.75mm","17.5mm","23.75mm","17.5mm","22.98mm","17.5mm","T","0","104",
"C10","0805_C","23.75mm","24.75mm","23.75mm","24.75mm","22.86mm","24.75mm","T","0","10uF",
"C11","0805_C","5.078mm","20.485mm","5.078mm","20.485mm","5.968mm","20.485mm","T","180","10uF",
"C12","0603_C","7.999mm","22.255mm","7.999mm","22.255mm","7.999mm","21.485mm","T","90","104",
"C13","0603_C","16.809mm","45.223mm","16.809mm","45.223mm","16.809mm","45.993mm","T","270","104",
"C14","0603_C","10.205mm","45.224mm","10.205mm","45.224mm","10.205mm","44.454mm","T","90","104",
"C15","0603_C","24.758mm","40.297mm","24.758mm","40.297mm","23.988mm","40.297mm","T","0","104",
"C16","0603_C","24.759mm","34.518499mm","24.759mm","34.518499mm","23.989mm","34.518499mm","T","0","104",
"C17","0603_C","24.762999mm","28.74mm","24.762999mm","28.74mm","23.992999mm","28.74mm","T","0","104",
"C18","0603_C","8.651mm","28.105mm","8.651mm","28.105mm","8.651mm","28.875mm","T","270","104",
"C19","0603_C","6.221mm","33.82mm","6.221mm","33.82mm","6.991mm","33.82mm","T","180","104",
"C20","0603_C","14.62mm","45.25mm","14.62mm","45.25mm","14.62mm","44.48mm","T","90","104",
"C21","0603_C","1.75mm","52.02mm","1.75mm","52.02mm","1.75mm","51.25mm","T","90","104",
"C22","0603_C","15.674mm","57.874mm","15.674mm","57.874mm","16.444mm","57.874mm","T","180","104",
"C23","0603_C","54.109mm","53.124mm","54.109mm","53.124mm","53.339mm","53.124mm","T","0","104",
"C24","0603_C","15.596mm","52.310999mm","15.596mm","52.310999mm","16.366mm","52.310999mm","T","180","104",
"C25","0603_C","20.969999mm","28.74mm","20.969999mm","28.74mm","20.199999mm","28.74mm","T","0","104",
"C26","0603_C","12.72mm","45.224001mm","12.72mm","45.224001mm","12.72mm","44.454001mm","T","90","104",
"C27","0805_C","47.5mm","13.65mm","47.5mm","13.65mm","47.5mm","12.76mm","T","90","10uF",
"C28","0603_C","6.094mm","37.757mm","6.094mm","37.757mm","6.864mm","37.757mm","T","180","104",
"C29","0603_C","24.762999mm","37.4078mm","24.762999mm","37.4078mm","23.992999mm","37.4078mm","T","0","104",
"C30","0603_C","24.763mm","31.6292mm","24.763mm","31.6292mm","23.993mm","31.6292mm","T","0","104",
"C31","0603_C","6.221mm","31.28mm","6.221mm","31.28mm","6.991mm","31.28mm","T","180","104",
"C32","0603_C","14.874mm","54.521mm","14.874mm","54.521mm","15.644mm","54.521mm","T","180","104",
"C33","0603_C","18.684mm","45.25mm","18.684mm","45.25mm","18.684mm","44.48mm","T","90","104",
"C34","0603_C","17.287mm","23.405999mm","17.287mm","23.405999mm","16.517mm","23.405999mm","T","0","10pF",
"C35","0603_C","20.335mm","26.073001mm","20.335mm","26.073001mm","20.335mm","26.843001mm","T","270","10pF",
"C36","0603_C","25.923mm","46.655mm","25.923mm","46.655mm","25.923mm","45.885mm","T","90","104",
"C37","0603_C","52.2mm","10.15mm","52.2mm","10.15mm","52.97mm","10.15mm","T","180","10nF",
"C38","0603_C","48.25mm","9.4mm","48.25mm","9.4mm","48.25mm","10.17mm","T","270","47pF",
"C39","0603_C","55.5mm","6.15mm","55.5mm","6.15mm","55.5mm","6.92mm","T","270","104",
"C40","0805_C","57.75mm","5.9mm","57.75mm","5.9mm","57.75mm","6.79mm","T","270","2.2uF 50V",
"C41","0805_C","37.25mm","11.5mm","37.25mm","11.5mm","36.36mm","11.5mm","T","0","10uF",
"C42","0805_C","31.257mm","11.468mm","31.257mm","11.468mm","32.147mm","11.468mm","T","180","10uF",
"C43","0603_C","63.7055mm","44.6785mm","63.7055mm","44.6785mm","64.4755mm","44.6785mm","T","180","104",
"D5","D_SOD-323_HandSoldering","74.999999mm","55.5mm","74.999999mm","55.5mm","76.249999mm","55.5mm","T","180","D_TVS",
"D6","D_SOD-323_HandSoldering","64.0mm","55.3mm","64.0mm","55.3mm","62.75mm","55.3mm","T","0","D_TVS",
"D7","SMA(DO-214AC)_S3","63.0mm","10.65mm","63.0mm","10.65mm","65.1mm","10.65mm","T","0","SS34",
"D8","D_SOD-323_HandSoldering","45.1mm","31.3mm","45.1mm","31.3mm","45.1mm","30.05mm","T","90","D_TVS",
"D9","D_SOD-323_HandSoldering","42.4mm","18.6mm","42.4mm","18.6mm","42.4mm","19.85mm","T","270","D_TVS",
"D10","D_SOD-323_HandSoldering","44.7mm","18.6mm","44.7mm","18.6mm","44.7mm","19.85mm","T","270","D_TVS",
"D11","D_SOD-323_HandSoldering","69.0mm","35.5mm","69.0mm","35.5mm","69.0mm","34.25mm","T","90","D_TVS",
"D12","D_SOD-323_HandSoldering","71.5mm","35.5mm","71.5mm","35.5mm","71.5mm","34.25mm","T","90","D_TVS",
"D13","D_SOD-323_HandSoldering","74.0mm","35.5mm","74.0mm","35.5mm","74.0mm","34.25mm","T","90","D_TVS",
"D14","D_SOD-323_HandSoldering","73.8mm","58.2mm","73.8mm","58.2mm","72.55mm","58.2mm","T","0","D_TVS",
"D15","D_SOD-323_HandSoldering","69.0mm","58.2mm","69.0mm","58.2mm","70.25mm","58.2mm","T","180","D_TVS",
"D16","D_SOD-323_HandSoldering","64.55mm","59.3mm","64.55mm","59.3mm","64.55mm","60.55mm","T","270","D_TVS",
"D17","D_SOD-323_HandSoldering","67.0mm","83.1mm","67.0mm","83.1mm","67.0mm","81.85mm","T","90","D_TVS",
"D18","D_SOD-323_HandSoldering","70.1mm","83.1mm","70.1mm","83.1mm","70.1mm","81.85mm","T","90","D_TVS",
"D19","D_SOD-323_HandSoldering","73.1mm","83.1mm","73.1mm","83.1mm","73.1mm","81.85mm","T","90","D_TVS",
"D20","D_SMA","57.4mm","12.8mm","57.4mm","12.8mm","57.4mm","14.8mm","T","270","SMAJ16",
"F1","1206_R","70.0mm","10.65mm","70.0mm","10.65mm","68.51mm","10.65mm","T","0","1A",
"L1","L_SMD4030_hand","51.8mm","13.7mm","51.8mm","13.7mm","53.385mm","13.7mm","T","180","22uH 1A",
"Q1","SOT-23(SOT-23-3)","52.74mm","39.22mm","52.74mm","39.22mm","53.99mm","38.27mm","T","0","2N5401",
"Q2","SOT-23(SOT-23-3)","62.118mm","86.271mm","62.118mm","86.271mm","63.368mm","85.321mm","T","0","2N5401",
"Q3","SOT-23(SOT-23-3)","43.766mm","72.301mm","43.766mm","72.301mm","42.816mm","71.051mm","T","270","2N5551",
"Q4","SOT-23(SOT-23-3)","39.9503mm","72.301mm","39.9503mm","72.301mm","39.0003mm","71.051mm","T","270","2N5551",
"Q5","SOT-23(SOT-23-3)","36.1345mm","72.301mm","36.1345mm","72.301mm","35.1845mm","71.051mm","T","270","2N5551",
"Q6","SOT-23(SOT-23-3)","32.319mm","72.301mm","32.319mm","72.301mm","31.369mm","71.051mm","T","270","2N5551",
"Q7","SOT-23(SOT-23-3)","28.503mm","72.301mm","28.503mm","72.301mm","27.553mm","71.051mm","T","270","2N5551",
"Q8","SOT-23(SOT-23-3)","24.687mm","72.301mm","24.687mm","72.301mm","23.737mm","71.051mm","T","270","2N5551",
"Q9","SOT-23(SOT-23-3)","20.872mm","72.300999mm","20.872mm","72.300999mm","19.922mm","71.050999mm","T","270","2N5551",
"Q10","SOT-23(SOT-23-3)","17.056mm","72.301mm","17.056mm","72.301mm","16.106mm","71.051mm","T","270","2N5551",
"Q11","SOT-23(SOT-23-3)","13.24mm","72.300999mm","13.24mm","72.300999mm","12.29mm","71.050999mm","T","270","2N5551",
"Q12","SOT-23(SOT-23-3)","9.424mm","72.301mm","9.424mm","72.301mm","8.474mm","71.051mm","T","270","2N5551",
"Q13","SOT-23(SOT-23-3)","5.8mm","72.301mm","5.8mm","72.301mm","4.85mm","71.051mm","T","270","2N5551",
"Q14","SOT-23(SOT-23-3)","2.2mm","72.301mm","2.2mm","72.301mm","1.25mm","71.051mm","T","270","2N5551",
"Q15","SOT-23(SOT-23-3)","38.178mm","80.175mm","38.178mm","80.175mm","39.428mm","79.225mm","T","0","2N5401",
"Q16","SOT-23(SOT-23-3)","35.257mm","76.492mm","35.257mm","76.492mm","36.507mm","75.542mm","T","0","2N5401",
"Q17","SOT-23(SOT-23-3)","31.574mm","80.175mm","31.574mm","80.175mm","32.824mm","79.225mm","T","0","2N5401",
"Q18","SOT-23(SOT-23-3)","29.288001mm","76.492mm","29.288001mm","76.492mm","30.538001mm","75.542mm","T","0","2N5401",
"Q19","SOT-23(SOT-23-3)","24.97mm","80.175mm","24.97mm","80.175mm","26.22mm","79.225mm","T","0","2N5401",
"Q20","SOT-23(SOT-23-3)","22.684mm","76.619mm","22.684mm","76.619mm","23.934mm","75.669mm","T","0","2N5401",
"Q21","SOT-23(SOT-23-3)","18.366mm","80.302mm","18.366mm","80.302mm","19.616mm","79.352mm","T","0","2N5401",
"Q22","SOT-23(SOT-23-3)","15.636mm","76.746mm","15.636mm","76.746mm","16.886mm","75.796mm","T","0","2N5401",
"Q23","SOT-23(SOT-23-3)","11.762mm","80.556mm","11.762mm","80.556mm","13.012mm","79.606mm","T","0","2N5401",
"Q24","SOT-23(SOT-23-3)","9.222mm","76.873001mm","9.222mm","76.873001mm","10.472mm","75.923001mm","T","0","2N5401",
"Q25","SOT-23(SOT-23-3)","5.158mm","80.556mm","5.158mm","80.556mm","6.408mm","79.606mm","T","0","2N5401",
"Q26","SOT-23(SOT-23-3)","2.871999mm","76.873mm","2.871999mm","76.873mm","4.121999mm","75.923mm","T","0","2N5401",
"R1","0603_R","61.3mm","27.1mm","61.3mm","27.1mm","60.53mm","27.1mm","T","0","33",
"R2","0603_R","61.3mm","29.25mm","61.3mm","29.25mm","60.53mm","29.25mm","T","0","33",
"R3","0603_R","61.3mm","33.55mm","61.3mm","33.55mm","60.53mm","33.55mm","T","0","33",
"R4","0603_R","57.800001mm","39.281mm","57.800001mm","39.281mm","57.800001mm","38.511mm","T","90","33",
"R5","0603_R","61.3mm","35.7mm","61.3mm","35.7mm","60.53mm","35.7mm","T","0","33",
"R6","0603_R","61.33mm","20.5mm","61.33mm","20.5mm","60.56mm","20.5mm","T","0","33",
"R7","0603_R","61.4mm","18.4mm","61.4mm","18.4mm","60.63mm","18.4mm","T","0","33",
"R8","0603_R","61.3mm","31.4mm","61.3mm","31.4mm","60.53mm","31.4mm","T","0","33",
"R9","0603_R","51.831mm","67.475mm","51.831mm","67.475mm","51.061mm","67.475mm","T","0","33",
"R10","0603_R","55.895mm","39.281mm","55.895mm","39.281mm","55.895mm","38.511mm","T","90","4.7K",
"R11","0603_R","48.402001mm","67.475mm","48.402001mm","67.475mm","47.632001mm","67.475mm","T","0","33",
"R12","0603_R","45.481mm","81.318mm","45.481mm","81.318mm","45.481mm","82.088mm","T","270","33",
"R13","0603_R","60.975mm","77.889mm","60.975mm","77.889mm","60.975mm","78.659mm","T","270","33",
"R14","0603_R","60.975mm","81.826mm","60.975mm","81.826mm","60.975mm","82.596mm","T","270","33",
"R15","0603_R","55.132999mm","67.475mm","55.132999mm","67.475mm","54.362999mm","67.475mm","T","0","33",
"R16","0603_R","58.435mm","67.475mm","58.435mm","67.475mm","57.665mm","67.475mm","T","0","33",
"R17","0603_R","43.4mm","81.318mm","43.4mm","81.318mm","43.4mm","82.088mm","T","270","33",
"R18","0603_R","63.388mm","82.867mm","63.388mm","82.867mm","63.388mm","83.637mm","T","270","4.7K",
"R19","0603_R","67.3885mm","44.615001mm","67.3885mm","44.615001mm","68.1585mm","44.615001mm","T","180","4.7K",
"R20","1206_R","40.9852mm","14.262mm","40.9852mm","14.262mm","39.4952mm","14.262mm","T","0","0",
"R21","0603_R","43.7284mm","69.38mm","43.7284mm","69.38mm","44.4984mm","69.38mm","T","180","47K",
"R22","0603_R","39.8248mm","69.38mm","39.8248mm","69.38mm","40.5948mm","69.38mm","T","180","47K",
"R23","0603_R","36.1084mm","69.38mm","36.1084mm","69.38mm","36.8784mm","69.38mm","T","180","47K",
"R24","0603_R","32.248mm","69.329mm","32.248mm","69.329mm","33.018mm","69.329mm","T","180","47K",
"R25","0603_R","71.0mm","52.5mm","71.0mm","52.5mm","71.77mm","52.5mm","T","180","4.7K",
"R26","0603_R","41.226mm","80.127mm","41.226mm","80.127mm","41.226mm","80.897mm","T","270","4.7K",
"R27","0603_R","38.432mm","76.492mm","38.432mm","76.492mm","38.432mm","77.262mm","T","270","4.7K",
"R28","0603_R","34.749mm","80.175mm","34.749mm","80.175mm","34.749mm","80.945mm","T","270","4.7K",
"R29","0603_R","32.209mm","76.619mm","32.209mm","76.619mm","32.209mm","77.389mm","T","270","4.7K",
"R30","0603_R","28.018mm","80.166999mm","28.018mm","80.166999mm","28.018mm","80.936999mm","T","270","4.7K",
"R31","0603_R","25.605mm","76.619mm","25.605mm","76.619mm","25.605mm","77.389mm","T","270","4.7K",
"R32","0603_R","21.287mm","80.429mm","21.287mm","80.429mm","21.287mm","81.199mm","T","270","4.7K",
"R33","0603_R","18.874001mm","76.746mm","18.874001mm","76.746mm","18.874001mm","77.516mm","T","270","4.7K",
"R34","0603_R","14.683mm","80.429mm","14.683mm","80.429mm","14.683mm","81.199mm","T","270","4.7K",
"R35","0603_R","12.143mm","77.0mm","12.143mm","77.0mm","12.143mm","77.77mm","T","270","4.7K",
"R36","0603_R","8.078999mm","80.683mm","8.078999mm","80.683mm","8.078999mm","81.453mm","T","270","4.7K",
"R37","0603_R","5.793mm","77.0mm","5.793mm","77.0mm","5.793mm","77.77mm","T","270","4.7K",
"R38","0603_R","28.488mm","69.38mm","28.488mm","69.38mm","29.258mm","69.38mm","T","180","47K",
"R39","0603_R","24.628mm","69.380001mm","24.628mm","69.380001mm","25.398mm","69.380001mm","T","180","47K",
"R40","0603_R","20.868mm","69.329001mm","20.868mm","69.329001mm","21.638mm","69.329001mm","T","180","47K",
"R41","0603_R","17.008mm","69.38mm","17.008mm","69.38mm","17.778mm","69.38mm","T","180","47K",
"R42","0603_R","13.19mm","69.38mm","13.19mm","69.38mm","13.96mm","69.38mm","T","180","47K",
"R43","0603_R","9.388mm","69.38mm","9.388mm","69.38mm","10.158mm","69.38mm","T","180","47K",
"R44","0603_R","9.0mm","19.5mm","9.0mm","19.5mm","9.77mm","19.5mm","T","180","49.9",
"R45","0603_R","12.000001mm","11.5mm","12.000001mm","11.5mm","12.770001mm","11.5mm","T","180","49.9",
"R46","0603_R","21.0mm","5.118mm","21.0mm","5.118mm","21.0mm","4.348mm","T","90","470",
"R47","0603_R","9.794mm","4.856001mm","9.794mm","4.856001mm","9.024mm","4.856001mm","T","0","470",
"R48","0603_R","13.0mm","19.5mm","13.0mm","19.5mm","13.77mm","19.5mm","T","180","49.9",
"R49","0603_R","16.5mm","20.5mm","16.5mm","20.5mm","17.27mm","20.5mm","T","180","49.9",
"R50","0603_R","21.097mm","59.601mm","21.097mm","59.601mm","20.327mm","59.601mm","T","0","47K",
"R51","0603_R","5.857mm","29.248mm","5.857mm","29.248mm","5.087mm","29.248mm","T","0","12K",
"R52","0603_R","15.636mm","50.457mm","15.636mm","50.457mm","14.866mm","50.457mm","T","0","33",
"R53","0603_R","4.587mm","47.79mm","4.587mm","47.79mm","4.587mm","48.56mm","T","270","4.7K",
"R54","0603_R","2.301mm","47.536mm","2.301mm","47.536mm","2.301mm","46.766mm","T","90","4.7K",
"R55","0603_R","55.0mm","2.5mm","55.0mm","2.5mm","55.77mm","2.5mm","T","180","47K",
"R56","0603_R","48.25mm","5.67mm","48.25mm","5.67mm","48.25mm","6.44mm","T","270","100K",
"R57","0603_R","70.0mm","39.5mm","70.0mm","39.5mm","70.77mm","39.5mm","T","180","300",
"R58","0603_R","51.0mm","3.9mm","51.0mm","3.9mm","50.23mm","3.9mm","T","0","15K",
"R59","0603_R","79.0mm","55.5mm","79.0mm","55.5mm","79.77mm","55.5mm","T","180","33",
"R60","0603_R","5.8mm","69.3mm","5.8mm","69.3mm","6.57mm","69.3mm","T","180","47K",
"R61","0603_R","2.2mm","69.329mm","2.2mm","69.329mm","2.97mm","69.329mm","T","180","47K",
"R62","0603_R","68.000001mm","55.25mm","68.000001mm","55.25mm","68.770001mm","55.25mm","T","180","33",
"U1","LQFP-100_14X14X05P","43.068mm","49.822mm","43.068mm","49.822mm","37.068mm","42.272mm","T","0","EPM240T100",
"U2","TSSOP-14","23.256mm","65.621001mm","23.256mm","65.621001mm","26.106mm","63.671001mm","T","90","74HC04",
"U3","SOT-23-5","23.75mm","21.0mm","23.75mm","21.0mm","22.8mm","19.9mm","T","90","SPX3819M5-L-1-8",
"U4","LQFP-64_10X10X05P","15.615mm","36.2832mm","15.615mm","36.2832mm","11.865mm","30.7332mm","T","0","CH395Q",
"U5","LQFP-48_7X7X05P","22.684mm","53.403mm","22.684mm","53.403mm","18.634mm","56.153mm","T","270","STM32F030C8Tx",
"U6","SOIC-8_W3.9mm","6.619mm","53.124mm","6.619mm","53.124mm","9.069mm","51.219mm","T","90","MAX485E",
"U7","SOT-23-6","51.75mm","6.9mm","51.75mm","6.9mm","50.35mm","7.85mm","T","180","SY8120/MT2492/ME3116",
"U8","SOT-223","33.797mm","17.309999mm","33.797mm","17.309999mm","31.497mm","14.309999mm","T","270","AZ1117-3.3",
"U9","TSSOP-14","12.385mm","65.57mm","12.385mm","65.57mm","15.235mm","63.62mm","T","90","74HC04",
"Y1","Crystal_SMD_3225-4pin_3.2x2.5mm","17.266mm","26.0724mm","17.266mm","26.0724mm","16.166mm","25.2224mm","T","0","30MHz",
"C40B1","0805_C","60.25mm","6.0mm","60.25mm","6.0mm","60.25mm","6.89mm","T","270","2.2uF 50V",
"Through Hole Items ",
"D1","LED_D3.0mm","66.4868mm","39.6874mm","66.4868mm","39.6874mm","66.4868mm","39.6874mm","T","180","Remote",
"D4","LED_D3.0mm","79.0344mm","39.6874mm","79.0344mm","39.6874mm","79.0344mm","39.6874mm","T","180","Red",
"J2","PINTST","10.492mm","59.792mm","10.492mm","59.792mm","10.492mm","59.792mm","T","180","Conn_01x01",
"J9","PINTST","70.3476mm","46.4692mm","70.3476mm","46.4692mm","70.3476mm","46.4692mm","T","180","RST",
"SC1","M3_Screwhole","78.0mm","4.0mm","78.0mm","4.0mm","75.94319mm","2.8125mm","T","180","Conn_01x01",
"SC2","M3_Screwhole","78.0mm","86.0mm","78.0mm","86.0mm","75.94319mm","84.8125mm","T","180","Conn_01x01",
"SC3","M3_Screwhole","4.46mm","60.617mm","4.46mm","60.617mm","2.40319mm","59.4295mm","T","180","Conn_01x01",
"SC4","M3_Screwhole","30.317mm","41.4146mm","30.317mm","41.4146mm","28.26019mm","40.2271mm","T","180","Conn_01x01",
