"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","0603_C","43.345mm","51.354mm","43.345mm","51.354mm","43.345mm","50.584mm","T","90","104",
"C10","0805_C","61.506mm","65.324mm","61.506mm","65.324mm","61.506mm","66.214mm","T","270","22uF",
"C11","0805_C","78.922mm","69.515mm","78.922mm","69.515mm","78.032mm","69.515mm","T","0","2.2uF",
"C12","0603_C","76.001mm","67.745mm","76.001mm","67.745mm","76.001mm","68.515mm","T","270","104",
"C13","0603_C","67.191mm","44.777mm","67.191mm","44.777mm","67.191mm","44.007mm","T","90","104",
"C14","0603_C","73.795mm","44.776mm","73.795mm","44.776mm","73.795mm","45.546mm","T","270","104",
"C15","0603_C","59.242mm","49.703mm","59.242mm","49.703mm","60.012mm","49.703mm","T","180","104",
"C16","0603_C","59.241mm","55.4815mm","59.241mm","55.4815mm","60.011mm","55.4815mm","T","180","104",
"C17","0603_C","59.237mm","61.26mm","59.237mm","61.26mm","60.007mm","61.26mm","T","180","104",
"C18","0603_C","75.349mm","61.895mm","75.349mm","61.895mm","75.349mm","61.125mm","T","90","104",
"C19","0603_C","77.779mm","56.18mm","77.779mm","56.18mm","77.009mm","56.18mm","T","0","104",
"C2","0603_C","40.932mm","51.354mm","40.932mm","51.354mm","40.932mm","50.584mm","T","90","104",
"C20","0603_C","69.38mm","44.75mm","69.38mm","44.75mm","69.38mm","45.52mm","T","270","104",
"C21","0603_C","82.08mm","38.527mm","82.08mm","38.527mm","82.08mm","39.297mm","T","270","104",
"C22","0603_C","68.326mm","32.126mm","68.326mm","32.126mm","67.556mm","32.126mm","T","0","104",
"C23","0603_C","29.891mm","36.876mm","29.891mm","36.876mm","30.661mm","36.876mm","T","180","104",
"C24","0603_C","68.404mm","37.689mm","68.404mm","37.689mm","67.634mm","37.689mm","T","0","104",
"C25","0603_C","63.03mm","61.26mm","63.03mm","61.26mm","63.8mm","61.26mm","T","180","104",
"C26","0603_C","71.28mm","44.776mm","71.28mm","44.776mm","71.28mm","45.546mm","T","270","104",
"C28","0603_C","77.906mm","52.243mm","77.906mm","52.243mm","77.136mm","52.243mm","T","0","104",
"C29","0603_C","59.237mm","52.5922mm","59.237mm","52.5922mm","60.007mm","52.5922mm","T","180","104",
"C3","0603_C","51.481mm","43.226mm","51.481mm","43.226mm","50.711mm","43.226mm","T","0","104",
"C30","0603_C","59.237mm","58.3708mm","59.237mm","58.3708mm","60.007mm","58.3708mm","T","180","104",
"C31","0603_C","77.779mm","58.72mm","77.779mm","58.72mm","77.009mm","58.72mm","T","0","104",
"C32","0603_C","69.126mm","35.479mm","69.126mm","35.479mm","68.356mm","35.479mm","T","0","104",
"C33","0603_C","65.316mm","44.75mm","65.316mm","44.75mm","65.316mm","45.52mm","T","270","104",
"C34","0603_C","66.713mm","66.594mm","66.713mm","66.594mm","67.483mm","66.594mm","T","180","10pF",
"C35","0603_C","63.665mm","63.927mm","63.665mm","63.927mm","63.665mm","63.157mm","T","90","10pF",
"C36","0603_C","58.077mm","43.345mm","58.077mm","43.345mm","58.077mm","44.115mm","T","270","104",
"C37","0603_C","30.3722mm","79.7512mm","30.3722mm","79.7512mm","29.6022mm","79.7512mm","T","0","10nF",
"C38","0603_C","33.6996mm","81.9356mm","33.6996mm","81.9356mm","33.6996mm","81.1656mm","T","90","47pF",
"C39","0603_C","26.9432mm","84.5772mm","26.9432mm","84.5772mm","26.9432mm","83.8072mm","T","90","104",
"C4","0603_C","51.481mm","36.241mm","51.481mm","36.241mm","50.711mm","36.241mm","T","0","104",
"C40","0805_C","24.2762mm","84.5772mm","24.2762mm","84.5772mm","24.2762mm","83.6872mm","T","90","4.7uF 25V",
"C41","0805_C","36.0872mm","81.9356mm","36.0872mm","81.9356mm","36.0872mm","81.0456mm","T","90","10uF",
"C42","0805_C","52.743mm","78.532mm","52.743mm","78.532mm","51.853mm","78.532mm","T","0","22uF",
"C43","0603_C","20.2945mm","45.3215mm","20.2945mm","45.3215mm","19.5245mm","45.3215mm","T","0","104",
"C5","0603_C","39.154mm","28.486mm","39.154mm","28.486mm","39.154mm","29.256mm","T","270","104",
"C6","0603_C","41.186mm","29.764mm","41.186mm","29.764mm","41.186mm","30.534mm","T","270","104",
"C7","0603_C","29.748mm","43.734mm","29.748mm","43.734mm","30.518mm","43.734mm","T","180","104",
"C8","0603_C","68.356mm","30.399mm","68.356mm","30.399mm","67.586mm","30.399mm","T","0","104",
"C9","0603_C","61.641mm","76.246mm","61.641mm","76.246mm","62.411mm","76.246mm","T","180","104",
"D2","LL-34","19.4756mm","87.5236mm","19.4756mm","87.5236mm","21.2256mm","87.5236mm","T","0","16V",
"D3","SMA(DO-214AC)_S3","24.803mm","76.246mm","24.803mm","76.246mm","24.803mm","74.146mm","T","270","SS34",
"F1","R_1812_HandSoldering","21.12mm","77.262mm","21.12mm","77.262mm","21.12mm","73.862mm","T","90","1A",
"L1","L_SMD4030_hand","29.4832mm","76.0682mm","29.4832mm","76.0682mm","27.8982mm","76.0682mm","T","0","22uH 1A",
"Q1","SOT-23(SOT-23-3)","31.26mm","50.78mm","31.26mm","50.78mm","30.01mm","51.73mm","T","180","8550",
"Q10","SOT-23(SOT-23-3)","66.944mm","17.699mm","66.944mm","17.699mm","67.894mm","18.949mm","T","90","8050",
"Q11","SOT-23(SOT-23-3)","70.76mm","17.699mm","70.76mm","17.699mm","71.71mm","18.949mm","T","90","8050",
"Q12","SOT-23(SOT-23-3)","74.576mm","17.699mm","74.576mm","17.699mm","75.526mm","18.949mm","T","90","8050",
"Q13","SOT-23(SOT-23-3)","78.391mm","17.699mm","78.391mm","17.699mm","79.341mm","18.949mm","T","90","8050",
"Q14","SOT-23(SOT-23-3)","82.207mm","17.699mm","82.207mm","17.699mm","83.157mm","18.949mm","T","90","8050",
"Q15","SOT-23(SOT-23-3)","45.822mm","9.825mm","45.822mm","9.825mm","44.572mm","10.775mm","T","180","8550",
"Q16","SOT-23(SOT-23-3)","48.743mm","13.508mm","48.743mm","13.508mm","47.493mm","14.458mm","T","180","8550",
